,0
0,CLV
1,CLV_adj
2,Bullish8WeekMovAvg
3,Neutral
4,SP500WeeklyLow
5,SP500WeeklyHigh
6,Range
7,Range_adj
8,Bearish
9,SP500WeeklyClose
10,k_size
11,k_ROE
12,MFV
13,MFV_adj
14,fyearq
15,sic
16,m_ret
17,k_IA
18,chq
19,m_volume
20,size
21,m_volume_adj
22,cheq
23,m_high
24,m_high_adj
25,piq
26,oiadpq
27,m_low
28,niq
29,ibadjq
30,ibcomq
31,ibq
32,close
33,ibmiiq
34,csh12q
35,cshfd12
36,cshfdq
37,cshprq
38,m_low_adj
39,close_adj
40,dvpspq
41,revtq
42,ceqq
43,lseq
44,atq
45,ltq
46,epsx12
47,epsf12
48,xoprq
49,ciq
50,dlttq
51,loq
52,IA
53,oancfy
54,gind
55,gsubind
56,ggroup
57,gsector
58,comp_id
